model,train dataset,test dataset,features,accuracy,precision,recall,FPR,F1 score,notes
per_dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7576967438559135,0.9312422102201912,0.6513148336481186,0.07543299908842298,0.7665213302556211,
per_dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7940732854227663,0.9684254258412962,0.6824769433465085,0.03423423423423423,0.800686990124517,
per_dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7777482033537397,0.9692563356875779,0.6643884379894632,0.03483992467043315,0.7883754329644337,
per_dd_DQN_4.pkl,nslkdd,nslkdd,117,0.7705616183124834,0.9686331533028666,0.6569456184840801,0.03618499880182123,0.7829079919408999,
dueling_DQN_1.pkl,nslkdd,nslkdd,117,0.7754413982787686,0.9690486082260075,0.6619838229033631,0.035274621212121215,0.7866115841834583,
dueling_DQN_2.pkl,nslkdd,nslkdd,117,0.7638186496317985,0.9694640631491483,0.6498189919242551,0.0359501100513573,0.7780926975658552,
dueling_DQN_3.pkl,nslkdd,nslkdd,117,0.7836039393132819,0.9678022434565849,0.6710355753996832,0.03581330868761553,0.7925491196733859,
dueling_DQN_4.pkl,nslkdd,nslkdd,117,0.7715375743057404,0.9690486082260075,0.6578761810746017,0.035645933014354064,0.7837043259134818,
double_DQN_1.pkl,nslkdd,nslkdd,117,0.7862656374767102,0.9684254258412962,0.6737967914438503,0.034926470588235295,0.7946816670928151,
double_DQN_2.pkl,nslkdd,nslkdd,117,0.7830715996805963,0.9671790610718737,0.6706034855249892,0.03650646950092421,0.7920387854044398,
double_DQN_3.pkl,nslkdd,nslkdd,117,0.7676337503327123,0.9678022434565849,0.6540783377790257,0.037367405978784955,0.7805981402362402,
double_DQN_4.pkl,nslkdd,nslkdd,117,0.7686097063259693,0.9653095139177399,0.6556151241534989,0.03992349988046856,0.7808771635019324,
dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7759737379114542,0.9686331533028666,0.6626403296859457,0.035663675011809164,0.7869378111551768,
dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7682548132375122,0.9686331533028666,0.6545480067377878,0.03641186399807089,0.7812028815546993,
dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7642622659923698,0.9696717906107187,0.6502298370246552,0.03567937438905181,0.778454098223964,
dd_DQN_4.pkl,nslkdd,nslkdd,117,0.767545027060598,0.9688408807644371,0.6537706756377909,0.03625815808556925,0.7807164378975562,
pn_dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7795226687960252,0.9700872455338596,0.666096134645557,0.03380281690140845,0.7898520084566596,
pn_dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7855558512997959,0.9686331533028666,0.6729686823495454,0.03477660064486412,0.7941752533424168,
pn_dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7573418507674563,0.9682176983797258,0.6435178793317686,0.03798411122144985,0.7731608194409887,
pn_dd_DQN_4.pkl,nslkdd,nslkdd,117,0.7597373791145418,0.9696717906107187,0.645643153526971,0.036129670873546155,0.7751577548987048,
pn_per_dd_DQN_1.pkl,nslkdd,nslkdd,117,0.7778369266258539,0.9678022434565849,0.6648116438356164,0.03635937133474079,0.7881915073591609,
pn_per_dd_DQN_2.pkl,nslkdd,nslkdd,117,0.7741992724691686,0.9684254258412962,0.6608079376328845,0.036053130929791274,0.7855758699132193,
pn_per_dd_DQN_3.pkl,nslkdd,nslkdd,117,0.7694082157749977,0.9661404237640216,0.6562720474107521,0.03895793499043977,0.7816149903369465,
pn_per_dd_DQN_4.pkl,nslkdd,nslkdd,117,0.7613343980125987,0.9694640631491483,0.6472954230235783,0.03619798079290815,0.7762807717897539,
vanilla_DQN_1.pkl,nslkdd,nslkdd,117,0.7686097063259693,0.9692563356875779,0.6547852932921695,0.03570566948130278,0.781574539363484,
vanilla_DQN_2.pkl,nslkdd,nslkdd,117,0.7709165114009404,0.9686331533028666,0.6573160417254017,0.03615034713909505,0.7831709774941216,
vanilla_DQN_3.pkl,nslkdd,nslkdd,117,0.7672788572442552,0.9694640631491483,0.6533669326613468,0.03561046511627907,0.7806305929580999,
vanilla_DQN_4.pkl,nslkdd,nslkdd,117,0.7631088634548843,0.9700872455338596,0.6489716509171762,0.035337423312883434,0.7776852622814322,
default_A2C_2.pkl,nslkdd,nslkdd,117,0.731168485493745,0.963855421686747,0.6189967982924226,0.04609271523178808,0.7538586515028431,
default_A2C_3.pkl,nslkdd,nslkdd,117,0.7489131399166001,0.9603240548400499,0.6366014871936105,0.047642803691693686,0.7656508777740975,
default_A2C_4.pkl,nslkdd,nslkdd,117,0.7175938248602608,0.9227253842958039,0.6124362332827795,0.09258337481333997,0.7362227562774508,
default_A2C_1.pkl,nslkdd,nslkdd,117,0.7252240262620886,0.9734108849189863,0.6121489222730242,0.035398230088495575,0.7516240275884193,
